DATE,EXPECTED TYPE A TRUCKS,ACTUAL  TYPE A TRUCKS,OUTSIDE EXTRA  TYPE A TRUCKS,EXPECTED  TYPE B FORK TRUCKS,ACTUAL  TYPE B TRUCKS,EXPECTED  TYPE C TRUCKS,ACTUAL  TYPE C TRUCKS,"LARGE DELIVERIES 
(LBS)",SMALL DELIVERIES (LBS),"LARGE DELIVERIES 
(QTY)","SMALL DELIVERIES 
(QTY)"," RESCHEDULES
(QTY)","RESCHEDULES
(LBS)"
18-Nov-22,36,24,0,12,6,12,3,"6,726,285","953,895",161,273,3,"1,411"
21-Nov-22,36,18,0,12,9,12,3,"10,614,885","1,022,760",280,315,4,"10,824"
22-Nov-22,36,18,0,12,9,12,3,"11,440,065","874,305",259,217,2,"2,491"
23-Nov-22,36,18,0,12,9,12,3,"7,626,000","701,355",210,252,2,"7,165"
28-Nov-22,36,18,0,12,9,12,3,"10,010,205","713,730",294,252,5,"11,800"
29-Nov-22,36,18,0,12,9,12,3,"8,914,335","889,680",203,308,3,"4,926"
30-Nov-22,36,24,0,12,6,12,3,"7,844,085","890,760",245,280,3,"4,194"
1-Dec-22,36,21,0,12,6,12,3,"4,591,260","578,280",189,252,3,"6,387"
2-Dec-22,36,18,0,12,9,12,3,"5,954,670","741,405",182,189,2,273
5-Dec-22,21,21,0,9,9,3,3,"13,106,865","1,358,865",301,308,3,"9,288"
6-Dec-22,21,15,0,9,9,3,3,"10,433,385","1,150,005",315,287,2,0
7-Dec-22,21,27,0,9,9,3,3,"12,225,525","785,385",266,294,2,415
8-Dec-22,21,21,3,9,6,3,3,"7,771,800","635,040",175,280,3,"4,610"
9-Dec-22,21,21,0,9,9,3,3,"11,457,225","840,495",196,217,2,"2,565"
12-Dec-22,21,18,3,9,9,3,3,"12,539,685","852,510",280,182,4,"3,538"
13-Dec-22,21,18,0,9,9,3,3,"3,789,180","645,765",133,210,2,"1,871"
14-Dec-22,21,21,0,9,9,3,3,"6,769,530","592,005",154,126,4,"13,065"
15-Dec-22,21,18,0,9,9,3,3,"7,647,810","838,725",203,217,3,"12,437"
16-Dec-22,21,21,0,9,9,3,3,"6,615,000","430,080",245,189,3,"6,514"
19-Dec-22,21,21,6,9,9,3,3,"15,872,610","817,440",350,203,5,"14,602"
20-Dec-22,21,21,0,9,9,3,3,"9,757,530","1,862,940",308,378,3,"5,718"
21-Dec-22,21,21,0,9,9,3,3,"9,916,590","975,300",308,301,3,"6,737"
22-Dec-22,21,21,0,9,9,3,3,"9,372,195","693,285",238,231,3,"6,282"
26-Dec-22,21,21,0,9,9,3,3,"5,224,350","375,945",154,126,2,"4,041"
27-Dec-22,21,21,0,9,9,3,3,"11,151,765","472,740",245,98,3,"1,972"
28-Dec-22,21,21,0,9,9,3,3,"6,455,955","717,585",161,301,1,"2,924"
29-Dec-22,21,21,0,9,9,3,3,"12,058,605","925,380",287,224,4,"16,282"
2-Jan-23,21,21,0,9,6,3,3,"11,217,435","597,570",238,161,3,0
3-Jan-23,21,21,0,9,9,3,3,"9,613,215","1,138,605",245,294,2,"10,268"
4-Jan-23,21,18,6,9,6,3,3,"14,226,090","1,487,160",301,378,2,"3,387"
5-Jan-23,21,18,0,9,6,3,3,"9,357,240","597,765",294,189,2,"3,253"
6-Jan-23,21,18,0,9,6,3,3,"11,284,740","715,515",329,329,1,0
9-Jan-23,21,21,0,9,9,3,3,"16,629,000","1,037,970",427,322,3,"2,807"
10-Jan-23,21,21,0,9,9,3,3,"10,031,925","917,700",252,252,3,"6,623"
11-Jan-23,21,21,0,9,9,3,3,"12,206,085","1,329,570",399,483,2,"5,840"
12-Jan-23,21,18,0,9,6,3,3,"6,283,245","875,265",231,315,2,"2,676"
13-Jan-23,21,18,0,9,6,3,3,"7,856,775","952,995",259,434,2,0
16-Jan-23,21,21,0,9,9,3,3,"13,228,785","849,255",322,357,1,0
17-Jan-23,21,21,0,9,6,3,3,"6,836,460","660,900",161,329,0,"5,589"
18-Jan-23,21,21,0,9,9,3,3,"11,836,395","856,980",252,413,2,"7,760"
19-Jan-23,21,21,3,9,6,3,3,"13,251,330","1,019,655",294,476,1,"4,253"
20-Jan-23,21,21,0,9,6,3,3,"7,288,395","708,660",231,231,1,"1,569"
23-Jan-23,21,18,3,9,9,3,3,"12,494,670","978,630",273,315,4,"4,614"
24-Jan-23,21,21,3,9,9,3,3,"11,569,605","821,160",238,224,3,539
25-Jan-23,21,21,0,9,9,3,3,"9,980,385","1,116,660",245,364,4,"15,683"
26-Jan-23,21,21,0,9,9,3,3,"4,809,690","721,350",126,350,4,"5,909"
27-Jan-23,21,21,0,9,6,3,3,"14,337,045","756,165",315,308,3,"13,416"
30-Jan-23,21,21,0,9,9,3,3,"4,565,685",0,140,0,8,135
3-Feb-23,21,21,3,9,9,3,3,"14,869,995","1,296,390",322,504,19,0
6-Feb-23,21,21,12,9,6,3,3,"13,562,625","310,050",329,119,6,"5,373"
7-Feb-23,21,21,0,9,6,3,3,"7,924,995","273,210",203,140,4,608
