Date,Trucks (qty),Deliveries (lbs.),Deliveries (qty),Reschedules (qty),Reschedules (lbs.),Temperature (°F),Precipitation (in),Lumber ($)
11/5/2023,37,13621081,607,4,8080,71.6,0.1,483.8
11/6/2023,39,18217410,735,7,9660,72.5,0,522
11/7/2023,37,13604364,606,4,8127,71.7,0.1,482.3
11/8/2023,33,12683520,637,5,6742,75.5,0,517
11/9/2023,36,11490390,518,4,6084,59,0.26,525.5
11/10/2023,36,10613070,371,5,16760,54.5,0,514
11/11/2023,37,13570929,603,4,8221,71.8,0.1,479.4
11/12/2023,37,13562570,602,4,8244,71.9,0.1,478.6
11/13/2023,33,11214360,539,4,15019,55,0,500
11/14/2023,39,13944510,756,4,14793,56,0,489.5
11/15/2023,39,14934525,665,5,10667,56.5,0,520
11/16/2023,39,10094490,679,5,12128,51.5,0,520
11/17/2023,39,14515320,539,5,21686,59.5,0,538
11/18/2023,37,13512418,599,4,8385,72.1,0.1,474.1
11/19/2023,37,13504059,598,4,8409,72.1,0.1,473.4
11/20/2023,39,18012810,938,5,8589,62,0,545.5
11/21/2023,37,13487342,597,4,8456,72.2,0.1,471.9
11/22/2023,37,13478983,596,4,8479,72.2,0.1,471.2
11/23/2023,37,13470624,595,4,8503,72.2,0.1,470.4
11/24/2023,36,13462266,595,4,8526,72.3,0.1,469.7
11/25/2023,36,13453907,594,4,8550,72.3,0.1,468.9
11/26/2023,36,13445548,593,4,8573,72.3,0.1,468.2
11/27/2023,36,17914200,763,5,5114,39,0,552
11/28/2023,36,14709525,595,5,11676,45.5,0,544.5
11/29/2023,36,18304965,875,4,2605,47.5,0,538.5
11/30/2023,39,16862190,546,6,1201,56.5,0.05,530.5
12/1/2023,39,6621840,378,3,7243,49,0,525
12/2/2023,37,13439509,598,4,7648,72.9,0.1,462
12/3/2023,37,13431150,597,4,7671,72.9,0.1,461.3
12/4/2023,39,10857480,644,6,10328,47.5,0,525.5
12/5/2023,36,17334480,686,3,3102,49,0,524.5
12/6/2023,36,16619955,651,5,5132,48.5,0,523.5
12/7/2023,36,16394535,595,5,6857,56.5,0,532
12/8/2023,33,14846580,574,5,7099,64,0,532
12/9/2023,37,13380998,593,4,7812,73.1,0.1,456.8
12/10/2023,37,13372639,593,4,7836,73.1,0.1,456.1
12/11/2023,39,15355545,742,7,5742,45,0,539
12/12/2023,39,12825150,595,7,6556,46.5,0,534
12/13/2023,42,13332945,616,8,11773,54.5,0,539.5
12/14/2023,42,15564075,700,7,13358,49,0,541
12/15/2023,42,5504940,280,5,19198,50,0.54,542
12/16/2023,37,13322487,589,4,7977,73.3,0.1,451.6
12/17/2023,37,13314128,588,4,8000,73.4,0.1,450.9
12/18/2023,42,19368000,672,8,11049,47,0,543.5
12/19/2023,42,17843235,609,7,9580,42.5,0,546.5
12/20/2023,42,16796100,714,6,11327,54.5,0,556
12/21/2023,36,16071750,560,7,7382,58,0.95,563.5
12/22/2023,39,9462060,427,5,9403,61,0.13,557
12/23/2023,36,13263976,584,4,8141,73.6,0.1,446.4
12/24/2023,36,13255617,584,4,8165,73.6,0.1,445.6
12/25/2023,36,13247258,583,4,8188,73.6,0.1,444.9
12/26/2023,39,15241980,525,5,2471,39.5,0,546.5
12/27/2023,39,13437705,595,6,8793,39.5,0,541.5
12/28/2023,39,17520390,623,5,15781,38.5,0,547
12/29/2023,39,6397035,364,2,2089,42.5,0,544
12/30/2023,36,13205465,580,4,8306,73.8,0.1,441.2
12/31/2023,36,13197106,579,4,8329,73.8,0.1,440.4
1/1/2024,39,15041505,655,6,11683,56.5,0.1,647.6
1/2/2024,42,14396820,686,5,23003,36,0.38,548
1/3/2024,42,18348870,700,4,15763,44.5,0,545.5
1/4/2024,39,13337280,616,6,20144,44,0.05,550.5
1/5/2024,42,11168385,504,3,11741,46.5,0.26,551.5
1/6/2024,38,14999712,652,6,11800,56.6,0.1,643.8
1/7/2024,38,14991353,651,6,11824,56.7,0.1,643.1
1/8/2024,42,16006830,560,5,23549,47.5,0.47,551
1/9/2024,42,12592455,455,7,23719,37,0,544.5
1/10/2024,42,12778110,504,8,33112,45,0,538
1/11/2024,42,13063575,616,8,17008,48.5,0,525
1/12/2024,42,8784555,420,4,9193,44.5,0,528
1/13/2024,38,14941201,647,6,11965,56.9,0.1,638.6
1/14/2024,38,14932842,647,6,11988,56.9,0.1,637.9
1/15/2024,38,14924483,646,6,12012,56.9,0.1,637.1
1/16/2024,42,6988050,273,7,9670,18,0,554
1/17/2024,42,11709405,637,9,24544,27,0,546
1/18/2024,42,11505885,483,7,21388,45,0,548
1/19/2024,42,8150475,441,6,14929,30,0,549
1/20/2024,38,14882690,643,6,12129,57.1,0.1,633.4
1/21/2024,38,14874331,642,6,12153,57.1,0.1,632.7
1/22/2024,36,5471010,385,9,42009,35,0.2,551.5
1/23/2024,42,2459970,266,6,18203,44,0.44,570
1/24/2024,42,4301955,406,8,24195,48.5,0,564
1/25/2024,42,4260180,399,8,18797,50.5,0,573
1/26/2024,42,2780775,189,6,12796,49.5,0.2,575.5
1/27/2024,38,14824179,638,6,12294,57.3,0.1,628.2
1/28/2024,38,14815820,638,6,12317,57.4,0.1,627.4
1/29/2024,42,13612575,567,10,36156,53,0,577
1/30/2024,42,13529625,413,6,19803,56,0,569.5
1/31/2024,42,13571535,553,7,4661,55,0,561.5
2/1/2024,42,18881445,630,6,20149,57.5,0,555.5
2/2/2024,42,17639550,497,7,19617,59.5,0.69,558.5
2/3/2024,38,14818139,643,6,11368,57.8,0.1,622.1
2/4/2024,38,14809780,642,6,11392,57.9,0.1,621.3
2/5/2024,39,21405795,728,8,22052,53,0,554.5
2/6/2024,39,18466965,707,4,15024,49,0,554.5
2/7/2024,39,15503775,665,5,20556,57.5,0,551.5
2/8/2024,39,19385160,679,8,20966,58.5,0,550
2/9/2024,36,13969740,595,5,7028,56.5,0,552
2/10/2024,38,14759628,638,6,11533,58.1,0.1,616.8
2/11/2024,38,14751269,638,6,11556,58.1,0.1,616.1
2/12/2024,42,22716975,903,7,17771,44,0,553.5
2/13/2024,42,15588225,609,9,15307,45,0,554
2/14/2024,42,15715020,658,7,22076,52.5,0,558
2/15/2024,42,14999340,609,6,18741,57,0,554
2/16/2024,42,11599680,651,5,8873,53,0,565
2/17/2024,38,14701117,634,6,11697,58.3,0.1,611.6
2/18/2024,38,14692758,633,6,11721,58.4,0.1,610.9
2/19/2024,42,15113805,798,10,29657,51,0,565
2/20/2024,36,14265345,581,5,23479,56.5,0,559.5
2/21/2024,36,20625240,875,7,3176,65,0,559.5
2/22/2024,36,17272725,630,5,14752,66,0,563
2/23/2024,36,19828035,714,4,7960,56,0,563.5
2/24/2024,38,14642606,629,6,11862,58.6,0.1,606.4
2/25/2024,38,14634247,629,6,11885,58.6,0.1,605.7
2/26/2024,33,15265005,714,8,17053,68.5,0,567
2/27/2024,33,20993820,721,5,9166,70,0,564
2/28/2024,36,21561510,791,6,6158,48.5,0,562
2/29/2024,36,21155805,777,6,1867,43,0.27,565
3/1/2024,36,21432510,546,4,11208,49,0,570
3/2/2024,38,14619849,632,5,10983,59.1,0.1,598.8
3/3/2024,38,14611490,632,5,11007,59.2,0.1,598
3/4/2024,36,18989025,1015,5,5478,70.5,0,573.5
3/5/2024,39,20612865,791,5,8524,63,0,575
3/6/2024,39,20358480,819,4,6504,61,0,574
3/7/2024,39,19296345,777,4,9461,63.5,1.33,575
