Date,Trucks (actual) (qty),Deliveries (lbs.),Deliveries (qty),Reschedules (lbs.),Reschedules (qty),Avg. Temperature (°F),Precipitation (in),Lumber ($)
6/5/2023,39,17495100,770,5002,4,76,0.47,344.00
6/7/2023,39,17662035,805,1276,5,76.5,0.01,344.00
7/24/2023,36,15975645,903,3762,4,85,0,538.50
7/25/2023,36,15080610,749,9415,6,88.5,0,524.00
7/26/2023,36,16386810,749,2403,4,87.5,0,519.00
7/27/2023,33,14034840,672,3096,5,89.5,0,518.00
7/28/2023,36,16962405,791,4638,5,88.5,0,517.00
7/31/2023,36,15440850,665,6178,6,89,0,509.00
8/1/2023,39,14840820,679,9792,6,92,0,505.00
8/2/2023,39,19107300,812,1064,3,93,0,502.00
8/3/2023,39,14863170,686,7674,5,95,0,497.00
8/4/2023,36,17242185,742,1550,2,94.5,0,495.50
8/7/2023,36,16822620,679,2098,4,90,0,497.00
8/8/2023,39,17843310,623,5240,3,92,0,498.50
8/9/2023,39,15619935,805,3202,4,92.5,0.03,497.50
8/10/2023,39,15559410,658,2958,4,91,0,496.00
8/11/2023,39,12196050,511,7765,4,97,0,496.00
8/14/2023,36,16038810,903,7439,4,86,0,498.50
8/15/2023,36,15986820,721,5846,4,83,0,511.00
8/16/2023,36,14968755,665,5075,5,79,0,528.50
8/17/2023,36,13374825,742,11690,6,91.5,0,519.00
8/18/2023,36,16090365,707,6303,5,93.5,0,534.50
8/21/2023,39,18766290,868,1360,5,92,0,533.00
8/22/2023,36,17818125,973,5055,4,90.5,0,528.00
8/23/2023,39,12118755,742,5246,6,91.5,0,529.00
8/24/2023,39,15749820,742,6349,4,92,0,525.50
8/25/2023,39,15218115,651,1305,6,94,0,516.00
8/28/2023,39,16708740,742,10408,5,84,0,510.50
8/29/2023,39,15583590,756,10167,6,83.5,0,515.00
8/30/2023,39,16806930,791,8068,3,84,0,511.00
8/31/2023,39,13758975,679,18654,5,82.5,0,505.50
9/1/2023,39,15367830,588,6861,4,87.5,0,503.00
9/5/2023,36,17302350,756,3061,3,92.5,0,502.50
9/6/2023,39,16719705,672,9150,4,89.5,0,502.00
9/7/2023,39,16231485,644,10205,4,91,0,502.00
9/8/2023,36,13802970,644,4431,4,92,0.22,509.50
9/11/2023,39,14791815,735,6914,6,80.5,0.21,515.00
9/12/2023,39,13002585,630,14241,5,76,0.13,511.00
9/13/2023,36,14371095,784,11932,6,75.5,0.02,506.00
9/14/2023,39,14065125,693,10826,6,73.5,0.31,495.50
9/15/2023,36,13504185,490,11795,4,75.5,0,500.50
9/18/2023,36,16182900,728,13060,7,75.5,0,493.50
9/19/2023,39,14878140,574,10231,5,82,0.66,488.00
9/20/2023,39,11215710,595,2726,6,81.5,0.05,484.00
9/21/2023,39,15475845,651,13918,6,85,0.31,481.50
9/22/2023,39,18302190,644,12959,4,86.5,0,482.50
9/25/2023,36,18101505,560,3366,5,81,0,496.00
9/26/2023,39,18074760,672,5775,5,79.5,0,494.50
9/27/2023,39,3664290,630,3363,4,80.5,0,502.00
9/28/2023,39,18403380,637,12266,6,81,0,508.00
9/29/2023,39,16037085,616,4011,5,84.5,0,504.00
10/2/2023,36,15418755,805,3841,5,76.5,0,497.00
10/3/2023,36,16815285,658,4559,4,79,0,491.50
10/4/2023,36,17248860,805,5888,3,82.5,0.6,499.00
10/5/2023,36,14430435,658,12484,3,74,0.06,487.00
10/6/2023,30,12880755,595,16216,4,72.5,0,493.50
10/9/2023,33,17345025,903,4993,3,71,0,489.50
10/10/2023,33,14525895,574,14870,2,71.5,0,501.00
10/11/2023,39,10705680,525,7609,3,71.5,0,506.50
10/12/2023,39,11678265,553,9515,4,72,0,505.00
10/13/2023,39,12365445,665,8722,3,66,0,506.00
10/16/2023,39,16148745,791,9701,5,53,0,500.50
10/17/2023,39,16494210,630,7238,2,54,0,500.50
10/18/2023,36,16420425,672,7894,4,66,0,501.00
10/19/2023,36,12548430,700,11224,4,67.5,0,498.00
10/20/2023,36,9602760,511,3504,1,70.5,0,488.00
10/23/2023,36,15564660,574,11419,5,74.5,0.67,482.50
10/24/2023,36,18225180,763,11449,4,72,0.56,479.50
10/25/2023,36,18975780,700,11190,4,72,2.43,483.50
11/6/2023,39,18217410,735,9660,7,72.5,0,522.00
11/8/2023,33,12683520,637,6742,5,75.5,0,517.00
11/9/2023,36,11490390,518,6084,4,59,0.26,525.50
11/10/2023,36,10613070,371,16760,5,54.5,0,514.00
11/13/2023,33,11214360,539,15019,4,55,0,500.00
11/14/2023,39,13944510,756,14793,4,56,0,489.50
11/15/2023,39,14934525,665,10667,5,56.5,0,520.00
11/16/2023,39,10094490,679,12128,5,51.5,0,520.00
11/17/2023,39,14515320,539,21686,5,59.5,0,538.00
11/20/2023,39,18012810,938,8589,5,62,0,545.50
11/27/2023,36,17914200,763,5114,5,39,0,552.00
11/28/2023,36,14709525,595,11676,5,45.5,0,544.50
11/29/2023,36,18304965,875,2605,4,47.5,0,538.50
11/30/2023,39,16862190,546,1201,6,56.5,0.05,530.50
12/1/2023,39,6621840,378,7243,3,49,0,525.00
12/4/2023,39,10857480,644,10328,6,47.5,0,525.50
12/5/2023,36,17334480,686,3102,3,49,0,524.50
12/6/2023,36,16619955,651,5132,5,48.5,0,523.50
12/7/2023,36,16394535,595,6857,5,56.5,0,532.00
12/8/2023,33,14846580,574,7099,5,64,0,532.00
12/11/2023,39,15355545,742,5742,7,45,0,539.00
12/12/2023,39,12825150,595,6556,7,46.5,0,534.00
12/13/2023,42,13332945,616,11773,8,54.5,0,539.50
12/14/2023,42,15564075,700,13358,7,49,0,541.00
12/15/2023,42,5504940,280,19198,5,50,0.54,542.00
12/18/2023,42,19368000,672,11049,8,47,0,543.50
12/19/2023,42,17843235,609,9580,7,42.5,0,546.50
12/20/2023,42,16796100,714,11327,6,54.5,0,556.00
12/21/2023,36,16071750,560,7382,7,58,0.95,563.50
12/22/2023,39,9462060,427,9403,5,61,0.13,557.00
12/26/2023,39,15241980,525,2471,5,39.5,0,546.50
12/27/2023,39,13437705,595,8793,6,39.5,0,541.50
12/28/2023,39,17520390,623,15781,5,38.5,0,547.00
12/29/2023,39,6397035,364,2089,2,42.5,0,544.00
1/2/2024,42,14396820,686,23003,5,36,0.38,548.00
1/3/2024,42,18348870,700,15763,4,44.5,0,545.50
1/4/2024,39,13337280,616,20144,6,44,0.05,550.50
1/5/2024,42,11168385,504,11741,3,46.5,0.26,551.50
1/8/2024,42,16006830,560,23549,5,47.5,0.47,551.00
1/9/2024,42,12592455,455,23719,7,37,0,544.50
1/10/2024,42,12778110,504,33112,8,45,0,538.00
1/11/2024,42,13063575,616,17008,8,48.5,0,525.00
1/12/2024,42,8784555,420,9193,4,44.5,0,528.00
1/16/2024,42,6988050,273,9670,7,18,0,554.00
1/17/2024,42,11709405,637,24544,9,27,0,546.00
1/18/2024,42,11505885,483,21388,7,45,0,548.00
1/19/2024,42,8150475,441,14929,6,30,0,549.00
1/22/2024,36,5471010,385,42009,9,35,0.2,551.50
1/23/2024,42,2459970,266,18203,6,44,0.44,570.00
1/24/2024,42,4301955,406,24195,8,48.5,0,564.00
1/25/2024,42,4260180,399,18797,8,50.5,0,573.00
1/26/2024,42,2780775,189,12796,6,49.5,0.2,575.50
1/29/2024,42,13612575,567,36156,10,53,0,577.00
1/30/2024,42,13529625,413,19803,6,56,0,569.50
1/31/2024,42,13571535,553,4661,7,55,0,561.50
2/1/2024,42,18881445,630,20149,6,57.5,0,555.50
2/2/2024,42,17639550,497,19617,7,59.5,0.69,558.50
2/5/2024,39,21405795,728,22052,8,53,0,554.50
2/6/2024,39,18466965,707,15024,4,49,0,554.50
2/7/2024,39,15503775,665,20556,5,57.5,0,551.50
2/8/2024,39,19385160,679,20966,8,58.5,0,550.00
2/9/2024,36,13969740,595,7028,5,56.5,0,552.00
2/12/2024,42,22716975,903,17771,7,44,0,553.50
2/13/2024,42,15588225,609,15307,9,45,0,554.00
2/14/2024,42,15715020,658,22076,7,52.5,0,558.00
2/15/2024,42,14999340,609,18741,6,57,0,554.00
2/16/2024,42,11599680,651,8873,5,53,0,565.00
2/19/2024,42,15113805,798,29657,10,51,0,565.00
2/20/2024,36,14265345,581,23479,5,56.5,0,559.50
2/21/2024,36,20625240,875,3176,7,65,0,559.50
2/22/2024,36,17272725,630,14752,5,66,0,563.00
2/23/2024,36,19828035,714,7960,4,56,0,563.50
2/26/2024,33,15265005,714,17053,8,68.5,0,567.00
2/27/2024,33,20993820,721,9166,5,70,0,564.00
2/28/2024,36,21561510,791,6158,6,48.5,0,562.00
2/29/2024,36,21155805,777,1867,6,43,0.27,565.00
3/1/2024,36,21432510,546,11208,4,49,0,570.00
3/4/2024,36,18989025,1015,5478,5,70.5,0,573.50
3/5/2024,39,20612865,791,8524,5,63,0,575.00
3/6/2024,39,20358480,819,6504,4,61,0,574.00
3/7/2024,39,19296345,777,9461,4,63.5,1.33,575.00
3/8/2024,39,12432975,455,31338,6,54,0.03,576.00
3/11/2024,39,18453510,861,18975,8,53,0,578.00
3/12/2024,39,17006115,728,18362,6,63,0,575.00
3/13/2024,39,19381215,945,3401,5,70,0,566.00
3/14/2024,42,18966975,840,19000,7,74,0,555.00
3/15/2024,39,20446590,742,2791,5,61,0.38,560.00
3/18/2024,36,18094215,854,8223,5,47,0,606.00
3/19/2024,39,18844005,714,11450,7,49.5,0,607.50
3/20/2024,39,18419070,721,3600,7,59.5,0,608.50
3/21/2024,36,17097030,728,9306,7,59.5,0.29,609.00
3/22/2024,39,20410905,721,8562,5,60.5,0,609.00
3/25/2024,36,15907485,805,16639,7,56,0.07,610.00
3/26/2024,39,12622350,623,8631,6,46.5,0,599.50
3/27/2024,39,16565835,693,19871,8,49.5,0,587.00
3/28/2024,36,14245980,616,14817,8,53.5,0,586.50
3/29/2024,33,13158750,574,8524,4,67.5,0,586.50
4/1/2024,39,16771950,742,14637,9,71.5,0.33,595.00
4/2/2024,42,9641010,574,14507,5,54.5,0,584.50
4/3/2024,39,17204475,700,13562,6,56,0,581.00
4/4/2024,42,17681100,763,10299,5,59.5,0,581.00
4/8/2024,39,17422935,903,12165,6,63.5,2.47,563.50
4/9/2024,39,19748025,679,17535,6,63,0.99,556.00
4/10/2024,36,15319470,588,23484,6,56.5,0.11,553.00
4/11/2024,33,13012920,658,11584,7,57,0,553.00
4/12/2024,39,17165565,623,5127,5,60,0,546.00
4/15/2024,36,17427750,945,13504,7,73,0,541.00
4/16/2024,36,12392430,616,6377,4,76.5,0,536.00
4/17/2024,39,17809470,924,1947,6,78,0,527.50
4/18/2024,36,17373885,658,5228,7,72,0,522.50
4/19/2024,33,15027615,623,10096,4,62.5,0,518.00
4/22/2024,39,17599770,896,4088,5,55,0,508.50
4/23/2024,39,14892795,693,17402,4,65,0,518.00
4/24/2024,39,17835015,805,5810,6,73,0,509.50
4/25/2024,39,19059720,707,5711,5,73.5,0.01,499.50
4/26/2024,39,10777020,469,14977,7,74.5,0,516.00
4/29/2024,42,18681705,784,13175,6,70,0,513.50
4/30/2024,45,17210505,679,15677,5,72,0,499.00
5/1/2024,45,15514575,770,13777,8,74.5,0,495.00
5/2/2024,45,17337330,595,13900,6,73,1.72,494.50
5/3/2024,45,11964720,595,8951,6,73.5,1.19,502.00
5/6/2024,45,15362220,903,14654,6,77,0,499.00
5/7/2024,45,11428500,532,622,4,79,0,498.50
5/8/2024,42,14872455,903,13281,4,81.5,0,499.50
5/9/2024,45,11165430,567,6798,3,69.5,0,494.50
5/10/2024,45,10207545,539,6596,3,68.5,0,490.50
5/13/2024,45,20500395,637,15010,5,72.5,0,481.00
5/14/2024,45,11204715,532,4986,2,70.5,0,482.00
5/15/2024,45,11850825,525,2180,5,74,0,496.00
5/16/2024,45,9941175,406,16746,5,69.5,0.28,527.50
